"","size","rep","tau","degAssort","clustering","pathLen","r","q","time_steps","peak_size","peak_time","tot_inf","prev_1","prev_2","prev_ratio"
"1",500,1,0.125,-0.0367373690082433,0.050012010569301,5,-0.0141953155020521,-0.00707998493982009,10.294911734049,44,2.44894059659511,0.464,0.452,0.476,0.949579831932773
"2",500,1,0.125,0.00977046396642801,0.0585521389405541,5,0.0982021366100921,0.0489922229554388,20.3172515325354,56,1.97497092582739,0.49,0.488,0.492,0.991869918699187
"3",500,1,0.125,0.0256068851593811,0.0614623552123552,5,0.224435269462039,0.112143201259873,11.6809797903978,60,2.26967850261227,0.43,0.408,0.452,0.902654867256637
"4",500,1,0.125,0.00928266321058781,0.0720053238686779,6,0.306844248307392,0.153378297956755,9.99820813996805,62,2.46257192073428,0.454,0.408,0.5,0.816
"5",500,1,0.125,-0.00146097269674911,0.0839790052486878,6,0.430774471950943,0.215002692209596,9.06593870801476,74,1.74221361095782,0.45,0.476,0.424,1.12264150943396
"6",500,1,0.125,0.0459525828576508,0.0892102905414053,6,0.53409235099376,0.266174187985053,10.8508622527784,51,1.15582099797211,0.452,0.428,0.476,0.899159663865546
"7",500,1,0.125,0.0455583139976324,0.0990476578909803,6,0.619501957129907,0.308592075592387,8.07124448791997,46,1.52340489822224,0.342,0.336,0.348,0.96551724137931
"8",500,1,0.125,0.0983731878670684,0.133321674245074,7,0.730671483197013,0.363544567202005,9.02473353211762,73,1.46372215212066,0.504,0.572,0.436,1.31192660550459
"9",500,1,0.125,0.12693261440964,0.180145380482495,7,0.833926411730235,0.406159694586027,8.04888608622073,62,1.00070778582112,0.444,0.528,0.36,1.46666666666667
"10",500,1,0.125,0.195138339446042,0.233152581070957,7,0.912259092310082,0.45605390896688,9.85426635768824,54,2.60756832871436,0.394,0.38,0.408,0.931372549019608
"11",1000,1,0.125,-0.0347850070715296,0.0312527472527473,5,-0.0157043767568587,-0.00784709192773902,17.6850738739994,86,2.22427357247877,0.395,0.414,0.376,1.10106382978723
"12",1000,1,0.125,-0.00932612648272047,0.0354074487735727,5,0.0956710126735909,0.0478346574326792,12.5277597108489,93,1.88329797053653,0.415,0.4,0.43,0.930232558139535
"13",1000,1,0.125,0.00860287685532041,0.0378492510635629,6,0.231942518019598,0.115887461783545,11.4024245383758,105,2.04500624163382,0.497,0.504,0.49,1.02857142857143
"14",1000,1,0.125,0.0237601615560407,0.0423583586530273,6,0.334749435861157,0.166957120106558,12.0967736017384,82,1.9230686972968,0.419,0.424,0.414,1.02415458937198
"15",1000,1,0.125,0.0306893842632313,0.0478236803703517,6,0.433475674969142,0.216728339481836,11.2254861370393,110,1.67980252932361,0.423,0.44,0.406,1.08374384236453
"16",1000,1,0.125,-0.00361628734530105,0.0515985600401849,7,0.50544957161796,0.251562933534807,11.3753270746233,118,2.80075940121226,0.467,0.47,0.464,1.01293103448276
"17",1000,1,0.125,0.052162150710511,0.0614560621859892,7,0.63490659823439,0.316408382620278,9.07658576215474,119,2.29329060861736,0.455,0.456,0.454,1.00440528634361
"18",1000,1,0.125,0.0657600220950621,0.0798801191878595,7,0.733130868535743,0.366471027928319,8.83246877999547,118,1.96059089870706,0.424,0.41,0.438,0.93607305936073
"19",1000,1,0.125,0.0999935107995704,0.0968303548568795,8,0.833263355161768,0.416039110309866,9.17181286015854,118,2.55117454712116,0.43,0.428,0.432,0.990740740740741
"20",1000,1,0.125,0.16446727267827,0.162529202251924,8,0.934639256065843,0.461835959231758,10.4773632051217,139,1.80861957709706,0.432,0.466,0.398,1.17085427135678
"21",1500,1,0.125,-0.0151463322887357,0.0220506140677335,5,0.00158136810206325,0.000790349347102148,11.9124825823856,150,2.15088206457164,0.443333333333333,0.453333333333333,0.433333333333333,1.04615384615385
"22",1500,1,0.125,-0.00103446715814115,0.0254900871883157,5,0.106687972468634,0.0533245158765538,16.0909023519361,133,2.227189719006,0.403333333333333,0.408,0.398666666666667,1.02341137123746
"23",1500,1,0.125,-0.00300053192809799,0.0265916044876268,6,0.181526603713047,0.0907592517477619,10.7623873099653,160,2.54439192165398,0.472666666666667,0.476,0.469333333333333,1.01420454545455
"24",1500,1,0.125,0.0166327324833173,0.0315084061605988,6,0.332792071575495,0.166394325056258,12.0152492421395,169,1.46383847031893,0.402,0.42,0.384,1.09375
"25",1500,1,0.125,0.0424325899169682,0.0332340702997385,7,0.402196524491267,0.200983253525532,12.3724530151528,178,2.48449658706568,0.452666666666667,0.454666666666667,0.450666666666667,1.00887573964497
"26",1500,1,0.125,0.0211022219017532,0.0356337220416746,7,0.501315583630749,0.250211034404592,11.4466452688138,172,2.08912980283382,0.479333333333333,0.492,0.466666666666667,1.05428571428571
"27",1500,1,0.125,0.0663525613521251,0.0485629335976214,7,0.629439577087467,0.312717673155262,11.4860543547755,171,2.6351131245234,0.496666666666667,0.494666666666667,0.498666666666667,0.991978609625668
"28",1500,1,0.125,0.0645704657241178,0.053302265881115,7,0.718298870380324,0.359058656167824,11.5611101449822,168,2.54788627324761,0.438,0.444,0.432,1.02777777777778
"29",1500,1,0.125,0.0662522220469024,0.0679515835631638,8,0.833794381937595,0.416880753267836,14.1067489675319,133,2.57771331783675,0.422,0.421333333333333,0.422666666666667,0.996845425867508
"30",1500,1,0.125,0.119340996989465,0.108623028782331,7,0.934778463043843,0.467213830912772,9.63621142264716,184,1.36771196197141,0.428666666666667,0.438666666666667,0.418666666666667,1.04777070063694
"31",500,2,0.125,-0.0478871445229896,0.0533695372299338,5,-0.0188020532848117,-0.0093649219259217,10.8642934568718,34,0.868311105631674,0.27,0.272,0.268,1.01492537313433
"32",500,2,0.125,-0.00148443487016705,0.0543195962169844,5,0.10688869080751,0.0533629139019226,10.737475365386,46,1.98209267982022,0.382,0.352,0.412,0.854368932038835
"33",500,2,0.125,-0.0142218010469819,0.0647361437649852,5,0.17593695812437,0.0878053836095041,10.4793649776671,28,0.252775433271471,0.294,0.304,0.284,1.07042253521127
"34",500,2,0.125,-0.0144632720400398,0.0695372919124394,5,0.330102307701666,0.164783874271788,10.2562647689438,73,1.9018469376374,0.43,0.376,0.484,0.776859504132231
