failed,n,q,tau,delt,psi,y,net_mean_k,net_var_k,sim_dur,m_rec,f_rec
no,1000,0,0.0001,100000,0,0,10.012,193.908,9.817849250565711,8,4
no,1000,0,0.0001,100000,0,1,10.014,199.288,4.912327710094979,4,4
no,1000,0,0.0001,100000,0,2,10.018,186.25,4.744286208487785,7,3
no,1000,0,0.0001,100000,0,3,9.998,183.338,5.850409782907979,4,8
no,1000,0,0.0001,100000,0,4,10.004,186.258,3.7828640670180214,4,5
no,1000,0,0.0001,100000,0,5,10.012,190.518,7.8462229429396135,13,6
no,1000,0,0.0001,100000,0,6,10.008,184.686,3.876137988377745,5,4
no,1000,0,0.0001,100000,0,7,10.002,202.174,7.757563474573935,3,7
no,1000,0,0.0001,100000,0,8,10.0,192.29,6.574686068924987,8,3
no,1000,0,0.0001,100000,0,9,10.02,187.602,7.825324344862075,5,6
no,1000,0,0.0001,100000,0,10,10.002,185.104,5.343990177825384,7,7
no,1000,0,0.0001,100000,0,11,10.012,193.908,3.4165539618339005,3,5
no,1000,0,0.0001,100000,0,12,10.014,192.148,11.168879064784281,5,5
yes,1000,0,0.0001,100000,0,13,100.062,10001.034,6.0148974381767975,6,7
no,1000,0,0.0001,100000,0,14,9.996,182.326,0.8124183108675043,5,2
no,1000,0,0.0001,100000,0,15,10.008,192.936,3.899567413525112,5,8
no,1000,0,0.0001,100000,0,16,10.006,187.616,5.25630372502996,6,3
no,1000,0,0.0001,100000,0,17,10.006,184.922,6.4037180134104155,7,5
no,1000,0,0.0001,100000,0,18,10.01,183.35,2.3326163867806264,7,1
no,1000,0,0.0001,100000,0,19,10.008,181.554,3.530168186515554,3,5
no,1000,0,0.0001,100000,0,20,10.014,185.164,3.3602660164129072,4,6
no,1000,0,0.0001,100000,0,21,10.014,191.736,8.314602548726336,5,9
no,1000,0,0.0001,100000,0,22,10.012,193.908,5.763889507746716,5,6
no,1000,0,0.0001,100000,0,23,10.014,186.54,3.1586588660313075,1,6
no,1000,0,0.0001,100000,0,24,10.014,184.95,5.494868231547104,5,6
no,1000,0,0.0001,100000,0,25,10.02,189.524,5.523359777475144,4,6
no,1000,0,0.001,100000,0,0,10.008,189.88,4.779039893604299,10,3
no,1000,0,0.001,100000,0,1,10.008,184.44,5.838241414477264,7,2
no,1000,0,0.001,100000,0,2,10.01,193.98,5.31458678928712,4,6
no,1000,0,0.001,100000,0,3,10.008,184.66,5.72045639334926,3,3
no,1000,0,0.001,100000,0,4,10.008,188.762,7.895450126702434,4,5
no,1000,0,0.001,100000,0,5,10.016,190.488,3.5302463513246902,6,4
no,1000,0,0.001,100000,0,6,10.006,184.276,3.959444760773549,4,3
no,1000,0,0.001,100000,0,7,10.012,193.908,2.2185392423834207,3,6
no,1000,0,0.001,100000,0,8,10.006,199.308,7.394688954488726,6,6
no,1000,0,0.001,100000,0,9,10.012,191.988,8.658228750297614,6,5
no,1000,0,0.001,100000,0,10,10.004,191.654,4.459337057746639,5,6
no,1000,0,0.001,100000,0,11,10.012,190.522,3.508514634204775,4,6
no,1000,0,0.001,100000,0,12,10.008,184.724,6.257894992483159,11,8
no,1000,0,0.001,100000,0,13,10.02,199.602,8.709761943213405,7,10
no,1000,0,0.001,100000,0,14,10.016,190.498,6.191261137719325,3,7
no,1000,0,0.001,100000,0,15,10.0,192.272,5.890441408039297,10,7
no,1000,0,0.001,100000,0,16,9.992,187.866,9.680117738589171,3,5
no,1000,0,0.001,100000,0,17,10.002,185.132,5.96658637661233,8,10
no,1000,0,0.001,100000,0,18,10.012,193.908,7.187798207127162,4,9
no,1000,0,0.001,100000,0,19,10.02,193.906,9.524275261929105,9,8
no,1000,0,0.001,100000,0,20,10.012,188.982,2.460590046402158,2,1
no,1000,0,0.001,100000,0,21,10.014,184.95,7.944878614119758,4,9
yes,1000,0,0.001,100000,0,22,100.534,10102.346,2.5574621879756876,5,3
no,1000,0,0.001,100000,0,23,10.014,180.94,4.7212093624362845,2,1
no,1000,0,0.001,100000,0,24,10.0,185.834,5.91270476872664,8,5
no,1000,0,0.001,100000,0,25,10.004,181.036,3.5153841552868403,2,5
no,1000,0,0.005,100000,0,0,10.006,184.446,7.387933449744926,11,3
no,1000,0,0.005,100000,0,1,10.012,190.54,7.2952059983202995,6,9
no,1000,0,0.005,100000,0,2,10.008,184.648,13.309499723885232,4,5
no,1000,0,0.005,100000,0,3,10.012,193.908,1.1497929966888754,3,2
no,1000,0,0.005,100000,0,4,10.02,183.91,3.997716158954198,2,4
no,1000,0,0.005,100000,0,5,10.02,194.238,7.623615703392633,6,7
no,1000,0,0.005,100000,0,6,9.998,189.978,3.5860097791607055,10,5
no,1000,0,0.005,100000,0,7,10.0,185.218,4.319337063796063,6,12
no,1000,0,0.005,100000,0,8,10.002,179.298,8.578757769053372,9,10
no,1000,0,0.005,100000,0,9,10.008,181.85,9.696288726395796,6,8
no,1000,0,0.005,100000,0,10,10.008,184.652,3.2984859891614144,6,2
no,1000,0,0.005,100000,0,11,10.02,187.298,5.398290515040032,3,4
no,1000,0,0.005,100000,0,12,10.014,205.426,6.601827491873707,5,9
no,1000,0,0.005,100000,0,13,10.002,187.078,5.8013621801105995,1,5
no,1000,0,0.005,100000,0,14,10.012,193.908,9.001232906918975,5,5
no,1000,0,0.005,100000,0,15,10.014,191.292,9.104195031765567,8,8
no,1000,0,0.005,100000,0,16,10.008,182.394,3.565665997128381,2,8
no,1000,0,0.005,100000,0,17,10.002,176.996,3.818564121555313,6,10
no,1000,0,0.005,100000,0,18,10.01,188.178,4.999463001032347,5,12
no,1000,0,0.005,100000,0,19,10.0,180.508,3.0764737470546493,4,6
no,1000,0,0.005,100000,0,20,10.008,184.722,6.875012169209048,5,4
no,1000,0,0.005,100000,0,21,10.01,199.54,2.4009784707539876,7,2
no,1000,0,0.005,100000,0,22,10.01,184.984,2.484817500883305,5,6
no,1000,0,0.005,100000,0,23,10.006,187.58,9.80718555162506,9,5
no,1000,0,0.005,100000,0,24,9.998,186.192,6.382056673824429,4,3
no,1000,0,0.005,100000,0,25,10.012,193.908,5.051648303294886,7,7
no,1000,0,0.01,100000,0,0,10.014,188.498,5.94621621401487,3,6
no,1000,0,0.01,100000,0,1,10.008,184.262,6.568072990527114,5,8
no,1000,0,0.01,100000,0,2,10.004,191.654,10.422418957408912,7,11
no,1000,0,0.01,100000,0,3,10.018,181.76,5.604640860427974,7,12
no,1000,0,0.01,100000,0,4,10.008,192.472,1.8715950895037374,2,2
no,1000,0,0.01,100000,0,5,10.004,189.49,4.297897264676694,4,6
no,1000,0,0.01,100000,0,6,10.012,190.522,4.942447643463716,7,4
no,1000,0,0.01,100000,0,7,10.018,191.842,1.0454411255906495,3,2
no,1000,0,0.01,100000,0,8,10.018,202.284,5.023790717711991,7,4
no,1000,0,0.01,100000,0,9,10.01,181.628,1.5923264518441238,1,3
no,1000,0,0.01,100000,0,10,10.012,193.908,6.651509431189101,9,10
no,1000,0,0.01,100000,0,11,10.016,196.476,4.736459200333256,5,7
no,1000,0,0.01,100000,0,12,10.008,181.138,8.764596274174805,6,9
no,1000,0,0.01,100000,0,13,10.01,184.77,5.104716685719987,6,11
no,1000,0,0.01,100000,0,14,10.008,182.814,5.3554526812181225,7,12
no,1000,0,0.01,100000,0,15,10.018,181.76,2.242961924542133,5,2
no,1000,0,0.01,100000,0,16,10.002,174.046,2.4453382275253714,4,6
no,1000,0,0.01,100000,0,17,10.002,179.286,26.127328524436784,17,10
no,1000,0,0.01,100000,0,18,10.006,184.446,3.8953391333389575,0,1
no,1000,0,0.01,100000,0,19,10.018,188.842,7.141959574794514,5,5
no,1000,0,0.01,100000,0,20,10.016,190.884,10.418632387252497,16,8
no,1000,0,0.01,100000,0,21,10.012,193.908,7.951952563667754,10,8
no,1000,0,0.01,100000,0,22,10.012,189.006,4.499555513934218,7,4
no,1000,0,0.01,100000,0,23,10.02,188.932,8.759129135359855,4,5
no,1000,0,0.01,100000,0,24,10.01,187.384,6.899353817048591,6,8
no,1000,0,0.01,100000,0,25,10.008,187.926,6.777669476511726,5,4
no,1000,0,0.015,100000,0,0,10.002,184.724,8.27685956758394,12,6
no,1000,0,0.015,100000,0,1,10.006,187.982,11.432246939890174,15,6
no,1000,0,0.015,100000,0,2,10.008,184.682,10.82949691091047,20,21
no,1000,0,0.015,100000,0,3,10.016,190.884,8.080525089511818,20,13
no,1000,0,0.015,100000,0,4,10.014,195.026,12.268161268157279,7,14
no,1000,0,0.015,100000,0,5,10.02,187.298,10.188516412050689,11,11
no,1000,0,0.015,100000,0,6,10.012,193.908,8.42533338826212,9,13
no,1000,0,0.015,100000,0,7,10.014,188.496,6.4558191114169095,1,1
no,1000,0,0.015,100000,0,8,10.018,191.522,8.418757840372802,10,10
no,1000,0,0.015,100000,0,9,10.008,184.476,7.919919521707346,10,5
no,1000,0,0.015,100000,0,10,10.014,184.702,5.4618521498502846,5,11
no,1000,0,0.015,100000,0,11,10.01,184.622,6.804079911184868,8,11
no,1000,0,0.015,100000,0,12,10.016,182.182,8.94375029321873,7,17
no,1000,0,0.015,100000,0,13,10.008,179.572,7.114353081208863,7,12
